#options: 400x294 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:81 out:81 type:B dur:2 cpbdur:2 q:13.13 aq:11.00 tex:13648 mv:1441 misc:439 imb:1 pmb:274 smb:200 d:- ref:0 ;
in:80 out:82 type:b dur:2 cpbdur:2 q:13.17 aq:12.23 tex:5698 mv:728 misc:510 imb:0 pmb:214 smb:261 d:- ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:13.10 aq:12.14 tex:4835 mv:720 misc:525 imb:0 pmb:217 smb:258 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:13.12 aq:4.34 tex:56559 mv:997 misc:452 imb:9 pmb:303 smb:163 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:13.11 aq:4.49 tex:32941 mv:637 misc:542 imb:4 pmb:245 smb:226 d:- ref:0 ;
in:89 out:86 type:P dur:2 cpbdur:2 q:12.88 aq:4.36 tex:98820 mv:2040 misc:348 imb:19 pmb:354 smb:102 d:- ref:0 ;
in:87 out:87 type:B dur:2 cpbdur:2 q:13.00 aq:10.18 tex:14481 mv:1982 misc:473 imb:2 pmb:302 smb:171 d:- ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:13.05 aq:12.12 tex:6666 mv:830 misc:520 imb:0 pmb:250 smb:225 d:- ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:12.94 aq:12.30 tex:5463 mv:978 misc:511 imb:0 pmb:241 smb:234 d:- ref:0 ;
in:91 out:90 type:P dur:2 cpbdur:2 q:12.85 aq:4.43 tex:53217 mv:889 misc:494 imb:2 pmb:276 smb:197 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:12.87 aq:12.87 tex:5949 mv:467 misc:472 imb:0 pmb:161 smb:314 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:12.71 aq:4.35 tex:24018 mv:395 misc:523 imb:2 pmb:223 smb:250 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:12.55 aq:4.51 tex:21994 mv:424 misc:550 imb:2 pmb:203 smb:270 d:- ref:0 ;
in:97 out:94 type:P dur:2 cpbdur:2 q:12.53 aq:3.67 tex:190641 mv:3048 misc:167 imb:116 pmb:352 smb:7 d:- ref:0 ;
in:95 out:95 type:B dur:2 cpbdur:2 q:12.54 aq:10.74 tex:17724 mv:1553 misc:451 imb:1 pmb:270 smb:204 d:- ref:0 ;
in:94 out:96 type:b dur:2 cpbdur:2 q:12.55 aq:11.95 tex:4607 mv:596 misc:461 imb:0 pmb:183 smb:292 d:- ref:0 ;
in:96 out:97 type:b dur:2 cpbdur:2 q:12.53 aq:10.15 tex:21281 mv:2046 misc:473 imb:12 pmb:328 smb:135 d:- ref:0 ;
in:101 out:98 type:P dur:2 cpbdur:2 q:12.95 aq:4.41 tex:104476 mv:2075 misc:345 imb:22 pmb:358 smb:95 d:- ref:0 ;
in:99 out:99 type:B dur:2 cpbdur:2 q:12.74 aq:9.65 tex:20203 mv:2090 misc:403 imb:0 pmb:331 smb:144 d:- ref:0 ;
in:98 out:100 type:b dur:2 cpbdur:2 q:12.63 aq:11.74 tex:8085 mv:1185 misc:490 imb:0 pmb:245 smb:230 d:- ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:12.84 aq:13.02 tex:10001 mv:1501 misc:466 imb:2 pmb:259 smb:214 d:- ref:0 ;
in:105 out:102 type:P dur:2 cpbdur:2 q:12.83 aq:4.17 tex:114018 mv:2386 misc:340 imb:27 pmb:372 smb:76 d:- ref:0 ;
in:103 out:103 type:B dur:2 cpbdur:2 q:12.89 aq:10.79 tex:20490 mv:2277 misc:441 imb:1 pmb:326 smb:148 d:- ref:0 ;
in:102 out:104 type:b dur:2 cpbdur:2 q:12.92 aq:13.04 tex:9120 mv:1212 misc:508 imb:2 pmb:248 smb:225 d:- ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:12.86 aq:12.62 tex:8171 mv:1341 misc:488 imb:1 pmb:262 smb:212 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:12.84 aq:4.08 tex:54108 mv:1081 misc:427 imb:5 pmb:306 smb:164 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:12.86 aq:4.63 tex:42941 mv:890 misc:457 imb:10 pmb:281 smb:184 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:12.83 aq:4.16 tex:39981 mv:805 misc:470 imb:7 pmb:262 smb:206 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:12.76 aq:3.90 tex:71622 mv:1416 misc:426 imb:13 pmb:318 smb:144 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:12.79 aq:10.77 tex:16117 mv:1268 misc:479 imb:0 pmb:230 smb:245 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:12.81 aq:12.36 tex:4401 mv:461 misc:482 imb:1 pmb:161 smb:313 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:12.78 aq:12.71 tex:7208 mv:550 misc:458 imb:0 pmb:155 smb:320 d:- ref:0 ;
in:114 out:113 type:P dur:2 cpbdur:2 q:12.73 aq:4.18 tex:42817 mv:1012 misc:483 imb:5 pmb:276 smb:194 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:12.74 aq:13.82 tex:4065 mv:570 misc:453 imb:0 pmb:154 smb:321 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:12.52 aq:4.29 tex:29121 mv:613 misc:554 imb:4 pmb:238 smb:233 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:12.42 aq:4.14 tex:44752 mv:750 misc:514 imb:4 pmb:268 smb:203 d:- ref:0 ;
in:118 out:117 type:P dur:2 cpbdur:2 q:12.44 aq:4.27 tex:38219 mv:858 misc:523 imb:6 pmb:241 smb:228 d:- ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:12.43 aq:11.40 tex:4493 mv:530 misc:473 imb:0 pmb:137 smb:338 d:- ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:12.28 aq:4.36 tex:78485 mv:1810 misc:465 imb:18 pmb:301 smb:156 d:- ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:12.36 aq:10.44 tex:20259 mv:1508 misc:465 imb:0 pmb:243 smb:232 d:- ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:12.40 aq:12.86 tex:9494 mv:835 misc:455 imb:0 pmb:185 smb:290 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:12.32 aq:12.15 tex:9154 mv:1162 misc:484 imb:0 pmb:205 smb:270 d:- ref:0 ;
in:124 out:123 type:P dur:2 cpbdur:2 q:12.21 aq:4.27 tex:67370 mv:1581 misc:417 imb:7 pmb:302 smb:166 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:12.24 aq:10.95 tex:8722 mv:1245 misc:481 imb:0 pmb:219 smb:256 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:12.14 aq:4.27 tex:44377 mv:973 misc:458 imb:2 pmb:269 smb:204 d:- ref:0 ;
in:129 out:126 type:P dur:2 cpbdur:2 q:12.07 aq:4.34 tex:107497 mv:2381 misc:346 imb:21 pmb:349 smb:105 d:- ref:0 ;
in:127 out:127 type:B dur:2 cpbdur:2 q:12.11 aq:8.92 tex:25052 mv:1987 misc:489 imb:0 pmb:283 smb:192 d:- ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:12.13 aq:10.89 tex:9200 mv:1292 misc:484 imb:0 pmb:201 smb:274 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:12.09 aq:11.49 tex:13602 mv:1731 misc:459 imb:0 pmb:277 smb:198 d:- ref:0 ;
in:133 out:130 type:P dur:2 cpbdur:2 q:12.19 aq:4.23 tex:133873 mv:2912 misc:271 imb:48 pmb:379 smb:48 d:- ref:0 ;
in:131 out:131 type:B dur:2 cpbdur:2 q:12.13 aq:9.31 tex:30920 mv:2792 misc:384 imb:3 pmb:350 smb:122 d:- ref:0 ;
